(﹁じ)/る/ら,–ら筿祇布秨ミ计秖,筿祇布–ら更ㄣ筿祇布ㄏノ计秖,筿祇布–ら秘计秖,稲み絏–ら筿祇布ぇ秘计秖,呼潦穨–ら筿祇布秨ミ计秖
2014/10/1,,,,,
2014/10/2,"13,075,343","1,103,557","103,714","101,940","2,763"
2014/10/3,,,,,
2014/10/4,"13,043,317","963,252","54,326","53,188","1,494"
2014/10/5,"12,137,762","790,133","44,326","43,546","1,515"
2014/10/6,"13,650,566","1,848,313","187,428","185,689","15,211"
2014/10/7,"13,897,251","1,522,786","110,806","109,057","1,602"
2014/10/8,"12,628,852","1,212,392","98,852","96,910","2,378"
2014/10/9,,,,,
2014/10/10,,,,,
2014/10/11,"11,290,864","724,217","47,857","47,137","1,133"
2014/10/12,"12,503,300","826,179","52,470","51,869",822
2014/10/13,"12,637,158","1,011,203","79,446","78,298","1,349"
2014/10/14,"12,829,220","1,389,607","105,726","103,695","3,211"
2014/10/15,"12,391,355","1,182,790","99,571","97,183","4,086"
2014/10/16,"12,276,695","1,191,911","98,985","97,796","9,470"
2014/10/17,"12,471,235","1,136,778","86,529","85,361","2,495"
2014/10/18,"12,270,495","928,380","66,145","64,851",901
2014/10/19,,,,,
2014/10/20,"13,113,057","1,261,884","88,269","87,286","1,348"
2014/10/21,,,,,
2014/10/22,"12,362,260","1,138,170","83,866","82,694","2,715"
2014/10/23,"11,930,097","1,115,067","84,442","82,907","2,434"
2014/10/24,,,,,
2014/10/25,"12,459,164","897,706","58,142","57,329","1,712"
2014/10/26,"12,216,217","844,211","50,896","50,156","1,388"
2014/10/27,"11,004,049","998,491","81,964","80,854","1,049"
2014/10/28,,,,,
2014/10/29,"12,585,268","1,332,566","95,906","94,037","3,023"
2014/10/30,"12,337,590","1,162,913","89,253","87,406","2,426"
2014/10/31,"12,757,781","1,160,640","90,105","88,526","3,562"
2014/11/1,"12,291,985","1,073,358","65,897","64,871","1,354"
2014/11/2,"12,157,409","869,315","53,762","52,628","1,103"
2014/11/3,"11,992,729","1,053,582","79,792","77,945",154
2014/11/4,"11,821,999","1,348,831","93,653","92,167","2,436"
2014/11/5,"12,494,105","1,474,415","84,381","82,374","15,899"
2014/11/6,"12,918,435","1,356,872","86,839","84,603","2,912"
2014/11/7,"6,365,329","574,461","52,069","51,176","2,318"
2014/11/8,"18,311,510","1,579,261","102,902","101,285","4,010"
2014/11/9,"11,810,221","851,552","54,532","53,670",917
2014/11/10,"7,398,470","613,687","53,598","52,736",52
2014/11/11,"17,632,813","1,827,244","129,769","127,437","4,557"
2014/11/13,"11,969,355","1,283,669","104,175","102,529","1,441"
2014/11/14,"12,178,054","1,149,763","88,274","86,779","7,220"
2014/11/15,"11,674,566","38,952","72,399","71,457",856
2014/11/16,"11,794,112","855,794","56,349","55,482","2,302"
2014/11/17,"11,393,366","1,023,047","73,428","72,180",745
2014/11/18,"12,003,224","1,455,209","121,450","120,318","2,085"
2014/11/19,"12,730,743","1,228,269","88,006","86,699","3,557"
2014/11/20,"12,079,019","1,309,286","88,652","87,105","2,347"
2014/11/21,"10,634,039","1,145,989","94,559","93,161","3,120"
2014/11/22,"11,470,682","886,718","50,768","49,770","1,077"
2014/11/23,"12,638,278","863,991","47,571","46,543","2,806"
2014/11/24,"12,230,995","1,004,381","87,390","86,007",633
2014/11/25,"11,892,224","1,285,990","88,211","86,390","2,052"
2014/11/26,"13,790,526","1,520,606","117,627","116,258","2,814"
2014/11/27,"12,305,089","1,324,658","114,404","112,655","4,118"
2014/11/28,"11,609,046","1,124,681","96,103","94,355","5,512"
2014/11/29,"7,726,279","485,356","53,698","52,758","3,069"
2014/11/30,"8,065,272","635,739","66,650","65,855","1,355"
2014/12/1,"19,773,212","1,688,346","70,925","69,370","1,798"
2014/12/2,"15,488,845","1,595,854","107,415","104,602","2,630"
2014/12/3,"12,046,395","1,215,613","87,180","85,771","2,983"
2014/12/4,"11,900,376","1,307,235","87,657","85,621","3,806"
2014/12/5,"12,026,589","1,226,949","89,618","88,287","13,944"
2014/12/6,"9,298,135","720,237","57,552","56,569","1,331"
2014/12/7,"14,249,089","1,011,704","54,366","53,335","2,394"
2014/12/8,"12,926,373","1,219,650","95,318","94,207",796
2014/12/9,"10,910,033","1,263,047","120,059","118,892","1,428"
2014/12/10,"13,364,168","1,231,015","95,465","94,049","2,860"
2014/12/11,"11,789,949","1,179,018","94,800","93,087","4,519"
2014/12/12,"12,114,739","1,420,113","98,554","96,470","2,445"
2014/12/13,"11,653,381","991,807","79,633","78,550","1,475"
2014/12/14,"11,199,755","811,081","51,975","50,904",991
2014/12/15,"12,465,091","1,069,863","74,947","73,559","1,264"
2014/12/16,"12,097,674","1,382,702","129,117","126,399",887
2014/12/17,"11,766,886","1,247,289","109,087","108,247","4,044"
2014/12/18,"11,579,052","1,167,380","100,033","98,471","1,227"
2014/12/19,"11,444,494","1,079,761","94,993","93,483","2,408"
2014/12/20,"11,615,504","886,704","65,079","64,044",328
2014/12/21,"11,364,029","790,607","50,314","49,284","1,779"
2014/12/22,"11,367,233","1,072,757","78,624","77,111",53
2014/12/23,"11,798,138","1,240,408","101,777","100,063","1,914"
2014/12/24,"12,885,241","1,234,112","118,420","116,938","1,379"
2014/12/25,"11,764,912","1,030,039","84,109","82,425",743
2014/12/26,"11,363,739","1,327,087","112,716","110,660","4,702"
2014/12/27,"9,617,194","1,011,279","112,923","111,531","1,004"
2014/12/28,"7,350,384","543,089","63,601","62,765","1,001"
2014/12/29,"17,754,600","1,565,409","101,053","99,352",73
2014/12/30,"12,117,855","1,259,982","91,627","90,302","1,825"
2014/12/31,"13,042,107","1,333,569","104,777","102,939","1,723"
2015/1/1,"11,639,963","1,003,634","73,439","72,408","1,073"
2015/1/2,"10,664,715","715,639","47,738","46,853",844
2015/1/3,"11,504,948","725,807","41,679","40,788",17
2015/1/4,"11,140,871","890,741","36,189","35,444",626
2015/1/5,"12,182,393","1,136,973","99,026","97,407","8,452"
2015/1/6,"12,508,309","1,265,826","82,940","81,540","3,106"
2015/1/7,"11,776,980","1,239,176","88,616","86,651","1,175"
2015/1/8,"11,564,486","1,281,246","108,214","106,471","8,691"
2015/1/9,"11,546,959","1,159,854","93,486","91,971",659
2015/1/10,"11,495,671","827,417","57,848","56,824",964
2015/1/11,"11,415,955","858,731","56,629","55,753",328
2015/1/12,"12,247,726","1,325,280","78,468","77,204",561
2015/1/13,"12,328,225","1,352,932","109,382","107,293","1,334"
2015/1/14,"13,844,079","1,233,644","96,471","95,524","1,201"
2015/1/15,"11,738,285","1,153,423","92,510","91,142",395
2015/1/16,"11,461,909","1,139,681","85,562","84,443","2,075"
2015/1/17,"11,126,921","882,886","60,047","59,011",588
2015/1/18,"10,960,681","761,714","50,473","49,543",434
2015/1/19,"12,241,861","1,241,687","103,770","102,678",797
2015/1/20,"11,616,971","1,206,562","90,459","89,167",689
2015/1/21,"11,737,108","1,121,519","85,090","83,491","2,487"
2015/1/22,"11,377,639","1,110,482","90,031","88,733",429
2015/1/23,"11,201,308","1,072,843","80,135","78,658","2,459"
2015/1/24,"11,636,875","859,170","60,412","59,257",29
2015/1/25,"11,180,796","790,303","53,748","52,743",798
2015/1/26,"12,464,910","1,050,508","72,063","71,057",50
2015/1/27,"12,929,504","1,390,857","117,216","115,066",734
2015/1/28,"11,394,922","1,253,529","111,572","110,053","8,330"
2015/1/29,"11,414,841","1,141,260","91,976","90,766",454
2015/1/30,"11,607,925","1,038,943","79,670","78,206","3,710"
2015/1/31,"11,382,934","910,405","69,301","68,228","1,343"
2015/2/1,"11,410,959","1,037,335","73,398","72,377",13
2015/2/2,"11,913,209","1,052,846","84,170","82,679",56
2015/2/3,"11,788,127","1,231,306","89,234","87,344","3,078"
2015/2/4,"11,704,052","1,269,914","80,519","78,771","1,707"
2015/2/5,"11,291,469","1,203,198","88,909","87,305","1,619"
2015/2/6,"11,317,865","1,220,608","88,346","87,009","1,001"
2015/2/7,"12,010,337","916,031","62,496","61,309","1,255"
2015/2/8,"11,024,341","655,721","39,934","38,968",15
2015/2/9,"11,313,665","1,164,005","96,966","95,842","6,309"
2015/2/10,"13,170,393","1,465,000","125,423","124,001",975
2015/2/11,"11,992,570","1,297,404","105,822","104,017",860
2015/2/12,"11,997,491","1,316,776","96,432","94,697",523
2015/2/13,"12,309,722","1,283,819","104,042","101,913","4,396"
2015/2/14,"12,276,491","910,537","64,204","63,047",809
2015/2/15,"12,354,017","881,774","60,969","59,556","1,152"
2015/2/16,"13,624,991","1,278,602","113,816","112,209",784
2015/2/17,"13,923,561","1,296,841","91,670","89,852",766
2015/2/18,"13,002,391","889,709","66,474","65,283",11
2015/2/19,"11,329,995","694,346","39,791","38,739","2,857"
2015/2/20,"11,578,887","750,510","35,439","34,678",5
